source,campaign,impr,cost,clicks,cpc
google_ads,CAMPAIGN_1,9337,626.9806048,565,1.110407702
google_ads,CAMPAIGN_2,255343,22644.2973826,15940,1.420595821
google_ads,CAMPAIGN_3,1369481,146874.7106045,85574,1.716355402
google_ads,CAMPAIGN_4,75739,5366.8344191,4715,1.138314559
google_ads,CAMPAIGN_5,778627,48523.4956881,48645,0.9974964825
google_ads,CAMPAIGN_6,1381999,99445.7138243,86356,1.15157851
google_ads,CAMPAIGN_7,1791804,107071.1892643,111969,0.9562591478
google_ads,CAMPAIGN_8,2027457,157657.4370429,126697,1.244364805
google_ads,CAMPAIGN_9,1358652,91453.0400337,84897,1.077225997
google_ads,CAMPAIGN_10,1171690,116793.9557909,73212,1.595291295
google_ads,CAMPAIGN_11,1550560,80216.8754973,96891,0.8279080862
google_ads,CAMPAIGN_12,1813170,187427.8985206,113304,1.654201386
google_ads,CAMPAIGN_13,1118406,55036.3661879,69881,0.7875677174
google_ads,CAMPAIGN_14,1594950,160121.2369035,99665,1.606587368
google_ads,CAMPAIGN_15,802881,36498.9975052,50161,0.7276352184
google_ads,CAMPAIGN_16,791653,56078.8656934,49459,1.133837269
google_ads,CAMPAIGN_17,1812233,154884.7826019,113246,1.367689187
google_ads,CAMPAIGN_18,1886037,214995.6117680,117858,1.824185733
google_ads,CAMPAIGN_19,1789254,160736.5562574,111809,1.437593787
google_ads,CAMPAIGN_20,16710,1617.8297229,1025,1.577693208
google_ads,CAMPAIGN_21,97043,8536.7252944,6046,1.411906457
google_ads,CAMPAIGN_22,1832830,125762.5906817,114533,1.098047153
google_ads,CAMPAIGN_23,1000733,26139.7185938,62527,0.4180557001
google_ads,CAMPAIGN_24,1966585,108025.0393494,122893,0.8790196008
google_ads,CAMPAIGN_25,899004,97940.2991966,56169,1.743677971
google_ads,CAMPAIGN_26,123462,3766.9838323,7697,0.4893813829
google_ads,CAMPAIGN_27,845397,34564.1323170,52818,0.6543956711
google_ads,CAMPAIGN_28,1974496,45176.0312949,123387,0.3661327097
